Date,ForwardRateUSDtoEUR,ForwardRateUSDtoEUR_low,ForwardRateUSDtoEUR_high,SpotRateUSDtoEUR,USDTreasuryRate,EUROBIR,TIME PERIOD,ECB_CISS,Year,Month,Quarter,DayOfWeek,IsWeekend,SpotRateEURtoUSD,ForwardRateEURtoUSD,ForwardRateEURtoUSD_low,ForwardRateEURtoUSD_high,rho_usd,x_usd,ForwardSpread_usd,TradingCost_usd,x_usd_lag_1
1999-01-01,,,,,,3.244,,,1999,1,1,4,0,,,,,,,,,
1999-01-04,0.8456659619450316,0.8380122349786306,0.8548469823901522,0.8465966813,4.38,3.234,,,1999,1,1,0,0,1.1812000000572174,1.1825,1.1698,1.1933,0.0010999704478804884,-1.1470999704478804,0.023500000000000076,0.019895022010550063,
1999-01-05,0.8502678343678259,0.8409014463504877,0.8522969402539845,0.8503401361,4.37,3.223,,,1999,1,1,1,0,1.1759999999369664,1.1761,1.1733,1.1892,8.503045201863069e-05,-1.1470850304520188,0.015900000000000025,0.013520408163990022,-1.1470999704478804
1999-01-06,0.8609556607834696,0.8446659346228567,0.8655760408551891,0.8594018563,4.36,3.215,,,1999,1,1,2,0,1.1636000000108448,1.1615,1.1553,1.1839,-0.0018063744199028342,-1.1431936255800976,0.02859999999999996,0.02457889309017996,-1.1470850304520188
1999-01-07,0.8542627712284298,0.8496176720475785,0.8612522607871845,0.8567511995,4.33,3.205,,,1999,1,1,3,0,1.16719999993417,1.1706,1.1611,1.177,0.0029087197049446345,-1.1279087197049447,0.015900000000000025,0.01362234407205002,-1.1431936255800976
1999-01-08,0.8643042350907519,0.8519338899301414,0.8670019074041964,0.8655011252,4.37,3.195,,0.0941,1999,1,1,4,0,1.1553999999352051,1.157,1.1534,1.1738,0.0013838439025914417,-1.1763838439025918,0.020399999999999974,0.017656222954079977,-1.1279087197049447
1999-01-11,0.8695652173913044,0.8612522607871845,0.8703977717817042,0.8670019074,4.39,3.193,,0.0941,1999,1,1,0,0,1.1534000000055824,1.15,1.1489,1.1611,-0.002952159828856521,-1.1940478401711432,0.012199999999999989,0.01057742327027999,-1.1763838439025918
1999-01-12,0.8643789437289308,0.8640055296353897,0.873743993010048,0.865950814,4.37,3.19,,0.0941,1999,1,1,1,0,1.1547999999916856,1.1569,1.1445,1.1574,0.0018168452532630885,-1.1818168452532634,0.012899999999999912,0.011170765500599922,-1.1940478401711432
1999-01-13,0.8570449091532396,0.8481044864727334,0.8658758334054896,0.8548469824,4.34,3.184,,0.0941,1999,1,1,2,0,1.1697999999865238,1.1668,1.1549,1.1791,-0.0025678350038389475,-1.1534321649961607,0.0242,0.02068729697408,-1.1818168452532634
1999-01-14,0.8550662676357418,0.8525149190110827,0.861178091629349,0.8555051758,4.33,3.162,,0.0941,1999,1,1,3,0,1.1689000000086265,1.1695,1.1612,1.173,0.0005131714031290924,-1.1685131714031292,0.011800000000000033,0.010094961074440028,-1.1534321649961607
1999-01-15,0.8654262224145391,0.8509914049868096,0.8655760408551891,0.8627383315,4.33,3.135,,0.1963,1999,1,1,4,0,1.1590999999517235,1.1555,1.1553,1.1751,-0.00311069113861398,-1.1918893088613862,0.01980000000000004,0.017082218963700033,-1.1685131714031292
1999-01-18,0.8609556607834696,0.8604371020478404,0.8652015919709293,0.8627383315,4.33,3.102,,0.1963,1999,1,1,0,0,1.1590999999517235,1.1615,1.1558,1.1622,0.002068431357414441,-1.2300684313574146,0.006399999999999961,0.0055215253215999665,-1.1918893088613862
1999-01-19,0.8616232982939858,0.8588851670531651,0.8648274669203493,0.8613264427,4.29,3.057,,0.1963,1999,1,1,1,0,1.1610000000293732,1.1606,1.1563,1.1643,-0.00034458996668346176,-1.2326554100333167,0.007999999999999785,0.006890611541599816,-1.2300684313574146
1999-01-20,0.8650519031141869,0.8604371020478404,0.8667013347200555,0.8639308855,4.26,3.055,,0.1963,1999,1,1,2,0,1.1575000000390656,1.156,1.1538,1.1622,-0.001296736761816436,-1.2037032632381832,0.008399999999999963,0.0072570194381999685,-1.2326554100333167
1999-01-21,0.8624407072013799,0.8605851979345955,0.8661758336942399,0.863781636,4.22,3.057,,0.1963,1999,1,1,3,0,1.1577000000032416,1.1595,1.1545,1.162,0.0015535994811035347,-1.1645535994811034,0.00749999999999984,0.0064783622699998615,-1.2037032632381832
